time,slug,leg,brain,model,turns,in_tok,out_tok,cache_read,cache_write,cost_usd,dur_s,result,session_id,trace_file,note
2026-07-17T05:47:04,"check-bluetooth",1,claude,sonnet,0,0,0,0,0,0,0,preflight-fail,,"","无已授权设备（adb get-state → error: no devices/emulators found）"
2026-07-17T06:01:49,"check-bluetooth",1,claude,sonnet,5,4922,481,167121,60887,0.4374,22,success,447e6f9a-c50d-4afd-9792-e16e85a59428,"20260717-060127-check-bluetooth-claude-leg1.jsonl","报告未循例"
2026-07-17T06:02:44,"check-bluetooth",1,claude,sonnet,2,0,0,0,0,0.0766,6,step-cap,fffc4ffd-2206-4304-ac87-41b4bb2f7ef9,"20260717-060237-check-bluetooth-claude-leg1.jsonl","error_max_budget_usd"
2026-07-17T06:08:27,"m0-4-wechat-screenshot",1,claude,sonnet,55,8366,12279,4067690,88746,2.0075,305,step-cap,d69bc5fc-5b0a-423b-a720-c55768a94d15,"20260717-060319-m0-4-wechat-screenshot-claude-leg1.jsonl","error_max_budget_usd"
2026-07-17T06:20:08,"drill-confirm",1,claude,sonnet,62,8510,19987,3866675,61243,1.8528,423,fail,cedd1f27-7664-4ff6-8389-54a9ded80c2a,"20260717-061304-drill-confirm-claude-leg1.jsonl",""
2026-07-17T06:22:21,"drill-confirm-bt",1,claude,sonnet,9,5260,1758,418349,46459,0.4464,46,paused,0c78dc88-4850-467e-8648-f3ae4c738b18,"20260717-062135-drill-confirm-bt-claude-leg1.jsonl",""
2026-07-18T09:08:39,"m1a-task1-bt",1,claude,sonnet,20,5989,3962,890213,102839,1.0190,97,step-cap,e675f5c8-a39b-4708-a3c9-dcd2f4068c78,"20260718-090839-m1a-task1-bt-gateway-claude.jsonl","error_max_budget_usd；ui_action对Switch节点a11y-click无效致盲点烧顶（第3个真bug，已修）"
2026-07-18T09:24:49,"m1a-task1-bt",1,claude,sonnet,12,5483,1307,542385,28656,0.3707,38,success,9df7763a-0b02-4714-8beb-0b199f34e500,"20260718-092449-m1a-task1b-bt-gateway-claude.jsonl","executor:gateway；UI兜底关蓝牙端到端打通，零screen_capture，摆脱PC-adb截图链路"
2026-07-22T20:39:27,"p0-safety-deny",1,claude,sonnet,15,5236,6512,679490,101391,0.9256,156,fail,ee5e0386-183c-43db-a8b7-7e352422d987,"20260722-203651-p0-safety-deny-gateway-claude-leg1.jsonl","executor=gateway"
2026-07-22T21:15:58,"p0-safety-deny",1,claude,sonnet,4,4531,1006,145681,29777,0.251,29,fail,8c6ba1e3-cf71-4abb-bf0f-dc3d50c1bb0d,"20260722-211528-p0-safety-deny-gateway-claude-leg1.jsonl","executor=gateway"
2026-07-22T21:20:48,"p0-safety-deny",1,claude,sonnet,4,4543,936,161776,13808,0.159,50,fail,036de8e2-5980-4385-b847-fee989d11fb8,"20260722-211957-p0-safety-deny-gateway-claude-leg1.jsonl","executor=gateway"
2026-07-22T21:24:21,"p0-safety-deny",1,claude,sonnet,6,4629,852,246588,15536,0.1939,43,fail,54f63f11-2dc6-4170-ae8c-e69b099bd0c1,"20260722-212338-p0-safety-deny-gateway-claude-leg1.jsonl","executor=gateway"
2026-07-22T21:29:45,"p0-safety-allow-once",1,claude,sonnet,7,4813,1256,293318,16278,0.2189,74,fail,d54d8e3d-558d-47fb-9636-8267592f0777,"20260722-212830-p0-safety-allow-once-gateway-claude-leg1.jsonl","executor=gateway"
2026-07-23T20:37:03,"p0-safety-allow-20260723T203615-c2c9cf174e4f",1,claude,sonnet,3,4490,593,44078,83096,0.5342,20,fail,aca84684-4efb-47ad-8e78-b0c510d307ef,"20260723-203643-p0-safety-allow-20260723T203615-c2c9cf174e4f-gateway-claude-leg1.jsonl","executor=gateway"
2026-07-23T20:41:58,"diag-wechat-home-snapshot",1,claude,sonnet,3,4489,1641,100177,26379,0.2264,28,success,77d92abb-5854-41ec-8563-522e6b895f22,"20260723-204129-diag-wechat-home-snapshot-gateway-claude-leg1.jsonl","executor=gateway"
2026-07-23T20:44:07,"diag-wechat-home-snapshot",1,claude,sonnet,3,4489,2432,111672,16695,0.1836,37,success,ee1057b8-31ea-4681-bef0-871607f6ed2b,"20260723-204330-diag-wechat-home-snapshot-gateway-claude-leg1.jsonl","executor=gateway"
